nama,time,gazeX,gazeY,label
Aditya2,17,853.5744,464.0652,2
Aditya2,33,855.0336,470.7072,2
Aditya2,50,873.504,458.1036,2
Aditya2,66,876.288,453.0708,2
Aditya2,83,875.0592,446.3424,2
Aditya2,99,885.8112,457.326,2
Aditya2,116,898.9824,392.8824,2
Aditya2,132,898.8864,389.2428,2
Aditya2,148,848.4288,445.0788,2
Aditya2,165,847.2,398.8764,2
Aditya2,181,845.664,391.77,2
Aditya2,198,840.2496,486.2052,2
Aditya2,214,839.0976,437.238,2
Aditya2,230,839.0976,437.238,2
Aditya2,247,854.4,441.8172,2
Aditya2,263,923.6544,414.3312,2
Aditya2,280,924.5184,421.1244,2
Aditya2,296,1050.605,329.4972,2
Aditya2,313,1076.218,331.992,2
Aditya2,329,1076.602,324.324,2
Aditya2,345,1055.27,284.5152,2
Aditya2,362,1029.504,280.7676,2
Aditya2,378,1029.178,284.9904,2
Aditya2,395,943.8528,302.184,2
Aditya2,411,743.4816,275.9508,2
Aditya2,428,747.168,287.9496,2
Aditya2,444,422.4192,226.0764,2
Aditya2,461,379.9488,231.3252,2
Aditya2,477,379.1808,230.0724,2
Aditya2,493,389.9712,273.5856,2
Aditya2,510,418.0608,260.928,2
Aditya2,526,420.672,265.4424,2
Aditya2,543,402.0672,228.0744,2
Aditya2,559,398.112,249.318,2
Aditya2,576,396.48,246.2616,2
Aditya2,592,394.8288,251.9208,2
Aditya2,608,358.8096,248.6268,2
Aditya2,625,353.376,240.3216,2
Aditya2,641,364.6656,245.4192,2
Aditya2,658,391.8336,284.9256,2
Aditya2,674,391.8336,284.9256,2
Aditya2,690,152.5056,326.916,2
Aditya2,707,89.0496,405.4968,2
Aditya2,723,89.0496,405.4968,2
Aditya2,740,104.0448,376.866,2
Aditya2,756,123.9168,300.5424,2
Aditya2,773,127.8144,304.4736,2
Aditya2,789,177.7152,320.1984,2
Aditya2,806,195.5136,196.9488,2
Aditya2,822,204.6912,208.4724,2
Aditya2,838,235.6608,105.6888,2
Aditya2,855,282.0288,131.9328,2
Aditya2,871,281.1264,130.5288,2
Aditya2,888,271.584,102.7836,2
Aditya2,904,272.7552,74.0232,2
Aditya2,921,265.152,60.8364,2
Aditya2,937,262.5984,94.4784,2
Aditya2,953,236.4672,95.7528,2
Aditya2,970,242.5152,105.2352,2
Aditya2,986,264.2304,104.5116,2
Aditya2,1003,242.5344,150.1416,2
Aditya2,1019,242.5344,150.1416,2
Aditya2,1036,306.048,98.9388,2
Aditya2,1052,221.5296,75.438,2
Aditya2,1068,212.6016,62.0892,2
Aditya2,1085,292.3584,9.3096,2
Aditya2,1101,323.2896,-0.0166,2
Aditya2,1118,333.3312,0.756,2
Aditya2,1134,344.8512,41.4504,2
Aditya2,1151,348.288,81.8532,2
Aditya2,1167,355.9104,96.5844,2
Aditya2,1183,366.7968,88.8624,2
Aditya2,1200,390.6624,95.2236,2
Aditya2,1216,381.7152,77.814,2
Aditya2,1233,322.5984,58.5144,2
Aditya2,1249,363.36,36.8712,2
Aditya2,1265,367.8336,45.7704,2
Aditya2,1282,360.2688,42.066,2
Aditya2,1298,354.912,37.1736,2
Aditya2,1315,356.352,40.77,2
Aditya2,1331,390.6048,33.534,2
Aditya2,1348,482.7648,22.3128,2
Aditya2,1364,478.5408,11.5776,2
Aditya2,1380,480.9216,36.2772,2
Aditya2,1397,460.2816,75.1248,2
Aditya2,1413,452.1024,56.592,2
Aditya2,1430,465.8688,12.2256,2
Aditya2,1446,442.3296,-0.0105,2
Aditya2,1463,438.7008,-0.0187,2
Aditya2,1479,446.2272,-0.041,2
Aditya2,1495,470.3232,-0.0161,2
Aditya2,1512,476.928,-0.0016,2
Aditya2,1528,501.8304,14.1372,2
Aditya2,1545,501.0048,50.382,2
Aditya2,1561,502.8096,55.0584,2
Aditya2,1578,491.8464,27.8964,2
Aditya2,1594,469.4784,40.932,2
Aditya2,1611,467.712,36.0072,2
Aditya2,1627,487.6608,56.0952,2
Aditya2,1643,471.4176,59.454,2
Aditya2,1660,473.184,64.4328,2
Aditya2,1676,423.072,75.6108,2
Aditya2,1693,285.408,124.5132,2
Aditya2,1709,282.7584,120.0096,2
Aditya2,1725,265.9584,132.8832,2
Aditya2,1742,284.9856,112.0824,2
Aditya2,1758,295.8912,129.816,2
Aditya2,1775,281.0688,160.164,2
Aditya2,1791,311.3088,153.2304,2
Aditya2,1808,308.064,148.4244,2
Aditya2,1824,227.1936,155.7684,2
Aditya2,1841,211.0848,159.354,2
Aditya2,1857,208.0512,154.9692,2
Aditya2,1874,397.7472,42.8112,2
Aditya2,1890,601.3632,29.0088,2
Aditya2,1906,599.8656,23.4576,2
Aditya2,1923,651.4944,-0.0524,2
Aditya2,1939,635.5968,-0.0619,2
Aditya2,1956,630.528,-0.0809,2
Aditya2,1972,663.8592,-0.0568,2
Aditya2,1988,564.3264,-0.0562,2
Aditya2,2005,566.2656,-0.0509,2
Aditya2,2021,627.8016,-0.0606,2
Aditya2,2038,627.1296,-0.0409,2
Aditya2,2054,629.952,-0.0308,2
Aditya2,2071,672.9792,-0.0379,2
Aditya2,2087,639.9936,-0.0222,2
Aditya2,2103,640.9536,-0.0173,2
Aditya2,2120,738.5664,-0.0266,2
Aditya2,2136,798.0288,-0.0576,2
Aditya2,2153,797.4144,-0.0629,2
Aditya2,2169,816.192,-0.0129,2
Aditya2,2186,828.096,17.5392,2
Aditya2,2202,828.8448,22.788,2
Aditya2,2218,859.5072,-0.0275,2
Aditya2,2235,839.5008,-0.0633,2
Aditya2,2251,838.2336,-0.0739,2
Aditya2,2268,807.072,-0.0653,2
Aditya2,2284,832.8384,-0.0953,2
Aditya2,2300,833.6256,-0.0899,2
Aditya2,2317,815.1552,-0.0221,2
Aditya2,2333,791.232,-0.0422,2
Aditya2,2350,791.9424,-0.0372,2
Aditya2,2366,1002.182,-0.0175,2
Aditya2,2383,1052.333,-0.0156,2
Aditya2,2399,1052.678,-0.026,2
Aditya2,2415,1112.525,-0.0542,2
Aditya2,2432,1063.584,-0.0823,2
Aditya2,2448,1062.605,-0.0621,2
Aditya2,2465,1060.819,-0.0181,2
Aditya2,2481,1049.664,6.7284,2
Aditya2,2498,1049.031,32.994,2
Aditya2,2514,1068.173,40.4136,2
Aditya2,2530,1085.952,43.1028,2
Aditya2,2547,1087.085,23.5008,2
Aditya2,2563,1090.675,0.7776,2
Aditya2,2580,1118.611,-0.0366,2
Aditya2,2596,1120.877,-0.0622,2
Aditya2,2613,1060.838,-0.0579,2
Aditya2,2629,1142.4,-0.103,2
Aditya2,2646,1142.611,-0.1082,2
Aditya2,2662,1240.589,-0.0432,2
Aditya2,2678,1272.48,-0.0624,2
Aditya2,2695,1269.734,-0.0462,2
Aditya2,2711,1254.221,-0.0421,2
Aditya2,2728,1240.051,-0.0202,2
Aditya2,2744,1241.875,-0.0307,2
Aditya2,2761,1250.573,-0.0457,2
Aditya2,2777,1213.978,-0.0376,2
Aditya2,2793,1211.539,-0.0234,2
Aditya2,2810,1256.448,-0.0058,2
Aditya2,2826,1247.002,23.22,2
Aditya2,2843,1245.101,34.5168,2
Aditya2,2859,1244.986,-0.0087,2
Aditya2,2876,1219.123,7.8192,2
Aditya2,2892,1222.234,-0.0122,2
Aditya2,2908,787.0848,-0.0207,2
Aditya2,2925,568.6464,5.3352,2
Aditya2,2941,568.6464,5.3352,2
Aditya2,2958,379.5648,33.4044,2
Aditya2,2974,390.7776,32.7024,2
Aditya2,2990,399.936,51.8076,2
Aditya2,3007,404.8896,66.1608,2
Aditya2,3023,399.4752,91.8216,2
Aditya2,3040,399.4752,91.8216,2
Aditya2,3056,419.3472,5.0112,2
Aditya2,3073,394.5024,42.6492,2
Aditya2,3089,387.3216,28.2312,2
Aditya2,3105,340.9344,47.088,2
Aditya2,3122,325.5552,38.7936,2
Aditya2,3138,327.7248,42.552,2
Aditya2,3155,309.984,61.128,2
Aditya2,3171,350.6688,77.6304,2
Aditya2,3187,357.6384,91.3356,2
Aditya2,3204,361.9968,82.2744,2
Aditya2,3220,386.304,45.7164,2
Aditya2,3237,381.2736,35.262,2
Aditya2,3253,369.4848,30.2292,2
Aditya2,3270,351.456,28.6632,2
Aditya2,3286,351.456,28.6632,2
Aditya2,3302,337.9392,41.2236,2
Aditya2,3319,334.5024,61.0956,2
Aditya2,3336,337.8048,66.1824,2
Aditya2,3352,339.072,61.0092,2
Aditya2,3368,353.2224,99.6732,2
Aditya2,3385,358.7712,109.7172,2
Aditya2,3401,401.8368,138.0132,2
Aditya2,3418,438.9312,99.6408,2
Aditya2,3434,431.9808,85.3632,2
Aditya2,3450,238.0992,154.9476,2
Aditya2,3467,191.6928,158.7816,2
Aditya2,3483,179.4048,141.9876,2
Aditya2,3500,246.6624,125.5824,2
